asin,keyword_id_list
B0CC9T18JX,"[120959419, 120959565]"
B0CC9VJWXB,[120959419]
B0CC9ZXCYJ,"[120959418, 120959419, 120959565]"
B0CCB15WGY,[120959565]
B0CCCDTKC4,[120959419]
B0CCFB52H3,"[120959419, 120959565]"
B0CCFBM1TZ,[120959565]
B0CCFCSQ39,[120959565]
B0CCFTLVMN,[120959565]
B0CCHNC1SG,"[120959419, 120959565]"
B0CCMQ63BC,"[120959424, 120959537, 120959420, 120959421, 120959422]"
B0CCMRZVNQ,[120959420]
B0CCMS8M73,"[120959537, 120959420]"
B0CCRNWGHZ,[120959047]
B0CCTN89RH,[120959418]
B0CCTQQWC4,"[120959419, 120959565]"
B0CDGL85VG,[120959418]
B0CDNT4JHT,[120959423]
B0CF1PS7W4,[120959418]
B0CF2656JS,[120959418]
B0CF5GXZD4,[120959425]
B0CF9THQDK,"[120959424, 120959425, 121095973, 120959047, 121095980, 120959222, 120959223, 120959418, 120959420, 120959421, 120959422, 120959423]"
B0CF9VQ8PC,"[120959425, 121095972, 120959047, 121095980, 120959418, 120959420, 120959423]"
B0CFZDMZ64,"[120959418, 120959223]"
B0CFZGCCC6,"[120959418, 120959223]"
B0CG7RGX84,[120959419]
B0CGLZR57T,"[120959425, 121095980]"
B0CGM4BF7N,"[120959418, 120959222, 120959223]"
B0CGNH9K5W,[120959418]
B0CGV6QYSS,"[120959418, 120959419, 120959565]"
B0CGVK9PST,[120959565]
B0CGW1G9Z5,"[120959419, 120959565]"
B0CGW22T77,[120959419]
B0CGW2J264,"[120959419, 120959565]"
B0CGWM7K74,[120959565]
B0CGWW6H26,[120959419]
B0CH17YRG8,[120959418]
B0CHB2V5WB,[120959418]
B0CHS7ZZJ6,"[120959418, 120959222, 120959223]"
B0CHSH5PGC,"[120959419, 120959565]"
B0CHSL39JL,"[120959419, 120959565]"
B0CHYV5KL6,[120959418]
B0CHZ6BZNH,[120959565]
B0CJ2NLQNV,[120959420]
B0CJ4LJRFT,"[120959537, 120959422]"
B0CJ4XJ57H,[120959565]
B0CJ6Z7TJ9,[120959537]
B0CJ86SJ5F,"[120959419, 120959565]"
B0CJ8PJZ5G,"[120959420, 121095972, 120959421, 120959423]"
B0CJ8Q3L3T,"[120959420, 121095972]"
B0CJ96VPLC,[120959424]
B0CJBD2KZV,[120959423]
B0CJDBTHJX,"[120959424, 120959420]"
B0CJJHJS15,[120959423]
B0CJJKJPGP,[120959223]
B0CJKGXC2Y,[120959419]
B0CJKJ4Y5Z,"[120959419, 120959565]"
B0CJKNJVYK,"[120959419, 120959565]"
B0CJKNXJKW,"[120959419, 120959565]"
B0CJKPBXQP,"[120959419, 120959565]"
B0CJKQ1CJV,[120959565]
B0CJKVTSZV,[120959419]
B0CJKWNZF3,[120959419]
B0CJL4NG61,"[120959419, 120959565]"
B0CJMYL3Q6,[120959565]
B0CJMZ6RLX,[120959565]
B0CJN127RF,"[120959419, 120959565]"
B0CJN1KLSN,"[120959419, 120959565]"
B0CJNQ1DF1,[120959421]
B0CJR43YSW,[120959423]
B0CJTB1ZXG,[120959047]
B0CJTFFJ2C,"[120959537, 120959420, 120959421, 120959422]"
B0CJXHNX2V,[120959423]
B0CKC13RZY,[120959419]
B0CKFCZRRN,[120959420]
B0CKHDXH9X,[120959047]
B0CKPZ1VPD,"[120959537, 120959422]"
B0CKQ5W9GT,[120959423]
B0CKRCWSDC,"[120959424, 120959537, 120959420, 120959421]"
B0CKRFQ7MN,"[120959222, 120959223]"
B0CKRHBXGP,[120959223]
B0CKRHPT72,"[120959222, 120959223]"
B0CKRWXHM5,[120959424]
B0CKWK6G2R,[121095980]
B0CKX67ZTD,[120959222]
B0CKXK9H64,[120959537]
B0CKY2SNL8,"[120959425, 121095980]"
B0CL3PCKQZ,"[120959419, 120959565]"
B0CL3ZRT7P,"[120959419, 120959565]"
B0CL3ZXB9K,[120959565]
B0CL3ZXBRZ,[120959565]
B0CL4WDM8H,"[120959418, 120959222]"
B0CL7JGZLD,[120959423]
B0CLH7DC2S,"[120959418, 120959222, 120959423]"
B0CLH7ZCJB,[120959222]
B0CLJ1YTV2,[120959565]
B0CLJ22F8V,[120959419]
B0CLJ25X4L,[120959419]
B0CLJ3BCBC,"[120959419, 120959565]"
B0CLJ3S2XJ,[120959419]
B0CLJ4J5CT,[120959565]
B0CLS9T3B5,"[120959418, 120959223]"
B0CLXT76G8,[120959420]
B0CLYVB7J3,[120959422]
B0CLYWSQHR,[120959418]
B0CM1WBN2V,[120959222]
B0CM434KJR,[120959423]
B0CM8SYW4L,[120959537]
B0CMQ9CQRT,[120959419]
B0CMQC64HN,"[120959419, 120959565]"
B0CMQCQ68D,"[120959419, 120959565]"
B0CMSRNKNM,[120959419]
